market_slug,ticker,earnings_date,eps_type,accounting_basis,eps_target,actual_eps,consensus_mean,beat_prob_last,sigma,implied_eps_t,implied_eps_ecdf
csgp-quarterly-earnings-gaap-eps-10-28-2025-0pt01,CSGP,2025-10-28,gaap,GAAP,0.01,-0.07,0.01,0.7187192628710746,0.022563042992710648,0.02,0.01
ctas-quarterly-earnings-gaap-eps-12-18-2025-1pt2,CTAS,2025-12-18,gaap,GAAP,1.2,1.21,1.2,0.9693229119786141,0.025086969936723328,1.26,1.2
cvna-quarterly-earnings-gaap-eps-10-29-2025-1pt27,CVNA,2025-10-29,gaap,GAAP,1.27,1.03,1.23,0.8863810447060926,2.16053654952148,4.35,1.43
cvs-quarterly-earnings-nongaap-eps-02-10-2026-0pt99,CVS,2026-02-10,nongaap,Non-GAAP,0.99,6.75,0.99,0.8651885807772609,0.3151911397001104,1.39,1.16
cvs-quarterly-earnings-nongaap-eps-10-29-2025-1pt36,CVS,2025-10-29,nongaap,Non-GAAP,1.36,1.6,1.36,0.8852351607667018,0.31129738290910924,1.8,1.64
cvx-quarterly-earnings-nongaap-eps-01-30-2026-1pt48,CVX,2026-01-30,nongaap,Non-GAAP,1.48,,1.5,0.54800264030197,0.22777414384881484,1.51,1.48
cvx-quarterly-earnings-nongaap-eps-10-31-2025-1pt7,CVX,2025-10-31,nongaap,Non-GAAP,1.7,1.85,1.81,0.5240567364187039,0.3242649029308094,1.72,1.74
cxm-quarterly-earnings-nongaap-eps-12-03-2025-0pt09,CXM,2025-12-03,nongaap,Non-GAAP,0.09,0.12,0.09,0.9494730084473023,0.018829377433825435,0.13,0.1
dash-quarterly-earnings-gaap-eps-11-05-2025-0pt68,DASH,2025-11-05,gaap,GAAP,0.68,0.55,0.69,0.42599617335788986,0.3261158002175226,0.62,0.66
dbx-quarterly-earnings-nongaap-eps-11-06-2025-0pt65,DBX,2025-11-06,nongaap,Non-GAAP,0.65,0.74,0.65,0.9246574546825759,0.027743413086658408,0.7,0.63
ddog-quarterly-earnings-nongaap-eps-02-10-2026-0pt55,DDOG,2026-02-10,nongaap,Non-GAAP,0.55,2.05,0.55,0.8972576098551494,0.03040135563165603,0.6,0.52
ddog-quarterly-earnings-nongaap-eps-11-06-2025-0pt46,DDOG,2025-11-06,nongaap,Non-GAAP,0.46,0.55,0.46,0.9516511955047862,0.02923260943784277,0.52,0.44
de-quarterly-earnings-gaap-eps-11-26-2025-3pt87,DE,2025-11-26,gaap,GAAP,3.87,18.5,3.88,0.7567116574538152,0.5387668298714176,4.28,3.57
dell-quarterly-earnings-nongaap-eps-11-25-2025-2pt47,DELL,2025-11-25,nongaap,Non-GAAP,2.47,2.59,2.47,0.9990000000000002,0.2528908615960408,4.28,2.6
dg-quarterly-earnings-gaap-eps-12-04-2025-0pt92,DG,2025-12-04,gaap,GAAP,0.92,1.28,0.95,0.9051869517545995,0.2627866400367762,1.33,1.26
